time(s),value
0.2644846439361572,0.00
0.5194900035858154,0.00
0.7728328704833984,0.00
1.0307319164276123,0.00
1.2932465076446533,0.00
1.5564119815826416,0.00
1.813462257385254,0.00
2.070652961730957,0.00
2.3398663997650146,0.00
2.610363006591797,0.00
2.865267038345337,0.00
3.1325318813323975,0.00
3.3904917240142822,0.00
3.6536481380462646,0.00
3.9180798530578613,0.00
4.184033155441284,0.00
4.450425386428833,0.00
4.705168008804321,0.00
4.970788955688477,0.00
5.235520839691162,0.00
5.487797021865845,0.00
5.747976779937744,0.00
6.014424800872803,0.00
6.274979829788208,0.00
6.533820390701294,0.00
6.794367790222168,0.00
7.049667119979858,0.00
7.302225112915039,2.65
7.555025815963745,2.80
7.822284460067749,2.80
8.084070444107056,2.87
8.345170021057129,2.94
8.601126670837402,2.87
8.867328405380249,2.98
9.133492708206177,2.91
9.39846658706665,2.94
9.649699687957764,2.94
9.90375542640686,2.98
10.170421361923218,2.91
10.435473918914795,2.94
10.695477724075317,2.94
10.961074113845825,2.98
11.22571086883545,2.98
11.478401184082031,98
11.732930183410645,2.94
11.992867708206177,3.09
12.250975131988525,3.05
12.503813028335571,3.05
12.764331579208374,3.05
13.025096654891968,3.05
13.283765316009521,3.05
13.543802499771118,3.09
13.812584161758423,3.09
14.074466943740845,3.02
14.336296558380127,3.05
14.608255386352539,3.05
14.883954763412476,3.05
15.143802642822266,3.05
15.396852016448975,3.09
15.664495944976807,3.05
15.91822862625122,3.05
16.180575609207153,3.05
16.43741512298584,3.02
16.69477105140686,3.09
16.95487070083618,3.09
17.216028690338135,3.05
17.488891124725342,3.05
17.749277353286743,3.05
18.003758192062378,3.09
18.270035982131958,3.05
18.532684803009033,3.09
18.78393054008484,3.09
19.0466787815094,3.09
19.307854175567627,3.05
19.579609155654907,3.09
19.838345527648926,3.09
20.10011649131775,3.09
20.35561442375183,3.05
20.61856460571289,3.13
20.870765924453735,3.13
21.12623167037964,3.02
21.37906551361084,3.09
21.640066862106323,3.05
21.898593187332153,3.09
22.16308569908142,2.06
22.419182062149048,0.61
22.67533564567566,0.00
22.938855409622192,0.00
23.202774047851562,0.04
23.467432022094727,0.00
23.723808765411377,0.00
23.977162837982178,0.00
24.23785638809204,0.00
24.503498315811157,0.00
24.76224446296692,0.00
25.014294147491455,0.00
25.28267526626587,0.00
25.547279357910156,0.00
25.79896640777588,0.04
26.051288843154907,0.00
26.30345129966736,0.00
26.56417489051819,0.00
26.82546377182007,0.00
27.080639839172363,0.00
27.335631608963013,0.00
27.60077977180481,0.00
27.85302472114563,0.00
28.11408495903015,0.00
28.37238574028015,0.00
28.62839937210083,0.00
28.893147230148315,0.00
29.151121377944946,2.94
29.404224395751953,2.98
29.656906604766846,3.02
29.924684762954712,3.02
30.180296421051025,3.02
30.43585443496704,3.02
